interval,value
2022-07-06,454.3432778249577
2022-07-07,308.6688310127777
2022-07-08,295.1856503076564
2022-07-09,459.4610070418634
2022-07-10,337.6706295046017
2022-07-11,388.3381597683751
2022-07-12,699.5334951502109
2022-07-13,515.9475933580673
2022-07-14,796.0847504238753
2022-07-15,527.228618476025
2022-07-16,156.58762854323618
2022-07-17,141.84494024284936
2022-07-18,434.4360423352212
2022-07-19,475.3479427996626
2022-07-20,449.15326817995054
2022-07-21,356.355039280894
2022-07-22,240.04048883958234
2022-07-23,285.3496670859985
2022-07-24,242.39282583655952
2022-07-25,280.3907899462572
2022-07-26,250.95523066864362
2022-07-27,323.01560085138743
2022-07-28,429.9997233280208
2022-07-29,364.0354685614038
2022-07-30,137.31855306787563
2022-07-31,100.07445404007993
2022-08-01,63.91895237312237
