facility_code,network_region,fueltech_id
KAREEYA3,QLD1,hydro
KAREEYA4,QLD1,hydro
KAREEYA5,QLD1,hydro
KARSF1,VIC1,solar
KEEPIT,NSW1,hydro
KIAMSF1,VIC1,solar
KIATAWF1,VIC1,wind
KINCUM1,NSW1,biomass
KPP_1,QLD1,black_coal
KSP1,QLD1,solar
LADBROK1,SA1,gas_ocgt
LADBROK2,SA1,gas_ocgt
LAVNORTH,VIC1,gas_ocgt
LBBG1,SA1,battery_discharging
LD01,NSW1,black_coal
LD02,NSW1,black_coal
LD03,NSW1,black_coal
LD04,NSW1,black_coal
LEM_WIL,TAS1,hydro
LGAPWF1,SA1,wind
LIMOSF11,NSW1,solar
LIMOSF21,NSW1,solar
LI_WY_CA,TAS1,hydro
LKBONNY1,SA1,wind
LKBONNY2,SA1,wind
LKBONNY3,SA1,wind
LK_ECHO,TAS1,hydro
LNGS1,VIC1,gas_ocgt
LNGS2,VIC1,gas_ocgt
LONGFORD,VIC1,gas_ocgt
LONSDALE,SA1,distillate
LOYYB1,VIC1,brown_coal
LOYYB2,VIC1,brown_coal
LRSF1,QLD1,solar
LUCAS2S2,NSW1,biomass
LUCASHGT,NSW1,biomass
LYA1,VIC1,brown_coal
LYA2,VIC1,brown_coal
LYA3,VIC1,brown_coal
LYA4,VIC1,brown_coal
MACARTH1,VIC1,wind
MACKAYGT,QLD1,distillate
MACKNTSH,TAS1,hydro
MANSLR1,NSW1,solar
MAROOWF1,VIC1,wind
MARYRSF1,QLD1,solar
MBAHNTH,QLD1,gas_recip
MCKAY1,VIC1,hydro
MEADOWB2,TAS1,distillate
MEADOWBK,TAS1,hydro
MERCER01,VIC1,wind
MEWF1,QLD1,wind
MIDDLSF1,QLD1,solar
MIDLDPS1,TAS1,hydro
MINTARO,SA1,gas_ocgt
MLSP1,NSW1,solar
MLWF1,VIC1,wind
MM3,NSW1,black_coal
MM4,NSW1,black_coal
MOLNGSF1,NSW1,solar
MOORAWF1,VIC1,wind
MOR1,VIC1,brown_coal
MOR2,VIC1,brown_coal
MOR3,VIC1,brown_coal
MORANBAH,QLD1,gas_recip
MOREESF1,NSW1,solar
MORNW,VIC1,biomass
MORTLK11,VIC1,gas_ocgt
MORTLK12,VIC1,gas_ocgt
MP1,NSW1,black_coal
MP2,NSW1,black_coal
MPP_1,QLD1,black_coal
MPP_2,QLD1,black_coal
MSTUART1,QLD1,distillate
MSTUART2,QLD1,distillate
MSTUART3,QLD1,distillate
MTGELWF1,VIC1,wind
MTMILLAR,SA1,wind
MURRAY,VIC1,hydro
MUSSELR1,TAS1,wind
MUWAWF1,VIC1,wind
MWPS3PV1,SA1,solar
MWPS4PV1,SA1,solar
NASF1,NSW1,solar
NBHWF1,SA1,wind
NEVERSF1,NSW1,solar
NINEWIL1,NSW1,distillate
None,VIC1,wind
None,SA1,none
None,QLD1,biomass
None,QLD1,black_coal
None,VIC1,none
None,TAS1,hydro
None,VIC1,biomass
NPS,VIC1,gas_steam
NPS1,SA1,brown_coal
NPS2,SA1,brown_coal
NUMURSF1,VIC1,solar
NUMURSF2,VIC1,solar
NYNGAN1,NSW1,solar
OAKEY1,QLD1,gas_ocgt
OAKEY1SF,QLD1,solar
OAKEY2,QLD1,gas_ocgt
OAKEY2SF,QLD1,solar
OAKLAND1,VIC1,wind
OAKY2,QLD1,gas_recip
OAKYCREK,QLD1,gas_recip
OSB-AG,SA1,gas_ccgt
PALOONA,TAS1,hydro
PARSF1,NSW1,solar
PEDLER1,SA1,biomass
PINDARI,NSW1,hydro
PIONEER,QLD1,biomass
PLAYB-AG,SA1,brown_coal
POAT110,TAS1,hydro
POAT220,TAS1,hydro
POR01,SA1,distillate
POR03,SA1,distillate
PORTLAT1,TAS1,distillate
PORTWF,VIC1,wind
PPCCGT,SA1,gas_ccgt
PTSTAN1,SA1,distillate
PUMP1,QLD1,pumps
PUMP2,QLD1,pumps
QPS1,SA1,gas_ocgt
QPS2,SA1,gas_ocgt
QPS3,SA1,gas_ocgt
QPS4,SA1,gas_ocgt
QPS5,SA1,gas_ocgt
QUERIVE1,TAS1,distillate
RACOMIL1,QLD1,biomass
REDBANK1,NSW1,black_coal
REECE1,TAS1,hydro
REECE2,TAS1,hydro
REMOUNT,TAS1,biomass
REPULSE,TAS1,hydro
ROCHEDAL,QLD1,biomass
ROMA_7,QLD1,gas_ocgt
ROMA_8,QLD1,gas_ocgt
ROWALLAN,TAS1,hydro
ROYALLA1,NSW1,solar
RPCG,QLD1,biomass
RRSF1,QLD1,solar
RUBICON,VIC1,hydro
RUGBYR1,QLD1,solar
SALTCRK1,VIC1,wind
SAPHWF1,NSW1,wind
SATGN1,SA1,distillate
SATGS1,SA1,distillate
SHEP1,VIC1,biomass
SHGEN,NSW1,hydro
SHPUMP,NSW1,pumps
SITHE01,NSW1,gas_ccgt
SITHE04,NSW1,gas_ccgt
SKSF1,NSW1,solar
SMCSF1,QLD1,solar
SNOWNTH1,SA1,wind
SNOWSTH1,SA1,wind
SNOWTWN1,SA1,wind
SNOWYP,NSW1,pumps
SNUG1,SA1,distillate
SRSF1,QLD1,solar
STAN-1,QLD1,black_coal
STAN-2,QLD1,black_coal
STAN-3,QLD1,black_coal
STAN-4,QLD1,black_coal
STANV1,SA1,distillate
STANV2,SA1,distillate
STAPYLTON1,QLD1,biomass
STARHLWF,SA1,wind
STGEORG1,NSW1,distillate
STHBKTEC,QLD1,distillate
STWF1,NSW1,wind
SUNCOAST,QLD1,biomass
SUNRSF1,NSW1,solar
SVALE1,VIC1,biomass
SWAN_E,QLD1,gas_ccgt
TABMILL2,QLD1,biomass
TAHMOOR1,NSW1,gas_recip
TALWA1,NSW1,gas_ccgt
TARALGA1,NSW1,wind
TARONG#1,QLD1,black_coal
TARONG#2,QLD1,black_coal
TARONG#3,QLD1,black_coal
TARONG#4,QLD1,black_coal
TARRALEA,TAS1,hydro
TATIARA1,SA1,distillate
TATURA01,VIC1,biomass
TBSF1,SA1,solar
TEATREE1,SA1,biomass
TERALBA,NSW1,gas_recip
TERMSTOR,SA1,hydro
TGNSS1,VIC1,gas_recip
THEDROP1,NSW1,hydro
TIMWEST,VIC1,wind
TITREE,QLD1,biomass
TNPS1,QLD1,black_coal
TOORAWF,VIC1,wind
TORRA1,SA1,gas_steam
TORRA2,SA1,gas_steam
TORRA3,SA1,gas_steam
TORRA4,SA1,gas_steam
TORRB1,SA1,gas_steam
TORRB2,SA1,gas_steam
TORRB3,SA1,gas_steam
TORRB4,SA1,gas_steam
TOWER,NSW1,gas_recip
TREVALLN,TAS1,hydro
TRIBUTE,TAS1,hydro
TUMUT3,NSW1,hydro
TUNGATIN,TAS1,hydro
TVCC201,TAS1,gas_ccgt
TVPP104,TAS1,gas_ocgt
UPPTUMUT,NSW1,hydro
URANQ11,NSW1,gas_ocgt
URANQ12,NSW1,gas_ocgt
URANQ13,NSW1,gas_ocgt
URANQ14,NSW1,gas_ocgt
VALDORA1,QLD1,solar
VICMILL1,QLD1,biomass
VP5,NSW1,black_coal
VP6,NSW1,black_coal
VPGS,VIC1,gas_ocgt
VPGS1,VIC1,gas_ocgt
VPGS2,VIC1,gas_ocgt
VPGS3,VIC1,gas_ocgt
VPGS4,VIC1,gas_ocgt
VPGS5,VIC1,gas_ocgt
VPGS6,VIC1,gas_ocgt
W/HOE#1,QLD1,hydro
W/HOE#2,QLD1,hydro
WARWSF1,QLD1,solar
WARWSF2,QLD1,solar
WATERLWF,SA1,wind
WAUBRAWF,VIC1,wind
WDLNGN01,NSW1,biomass
WELLSF1,NSW1,solar
WEMENSF1,VIC1,solar
WESTCBT1,NSW1,distillate
WESTILL1,NSW1,distillate
WGWF1,SA1,wind
WHILL1,QLD1,wind
WHIT1,QLD1,biomass
WHITSF1,QLD1,solar
WILGAPK,NSW1,gas_recip
WILGB01,NSW1,gas_recip
WILLHOV1,VIC1,hydro
WING1_1,SA1,biomass
WING2_1,SA1,biomass
WINGF1_1,SA1,biomass
WINGF2_1,SA1,biomass
WIVENSH,QLD1,hydro
WKIEWA1,VIC1,hydro
WKIEWA2,VIC1,hydro
WOLLERT1,VIC1,biomass
WONWP,VIC1,wind
WOODLWN1,NSW1,wind
WOOLNTH1,TAS1,wind
WOYWOY1,NSW1,biomass
WPWF,SA1,wind
WRSF1,NSW1,solar
WRWF1,NSW1,wind
WW7,NSW1,black_coal
WW8,NSW1,black_coal
WYANGALA,NSW1,hydro
WYANGALB,NSW1,hydro
WYNDW,VIC1,biomass
YABULU,QLD1,gas_ccgt
YABULU2,QLD1,gas_ccgt
YAMBUKWF,VIC1,wind
YARANSF1,QLD1,solar
YARWUN_1,QLD1,gas_ccgt
YATSF1,VIC1,solar
YAWWF1,VIC1,wind
YENDWF1,VIC1,wind
YSWF1,VIC1,wind
YWNGAHYD,VIC1,hydro
YWPS1,VIC1,brown_coal
YWPS2,VIC1,brown_coal
YWPS3,VIC1,brown_coal
YWPS4,VIC1,brown_coal
