name,oid,ocode,code,region,status,fueltech,unit_id,unit_num,station_cap_registered,craeted_by
Barron Gorge,AST,au.nem.qld.barron,BARRON-2,QLD1,operating,hydro,,,60.0,
Kareeya,ASK,au.nem.qld.kareeya,KAREEYA1,QLD1,operating,hydro,,,91.0,
Kareeya,ASK,au.nem.qld.kareeya,KAREEYA2,QLD1,operating,hydro,,,91.0,
Kareeya,ASK,au.nem.qld.kareeya,KAREEYA3,QLD1,operating,hydro,,,91.0,
Kareeya,ASK,au.nem.qld.kareeya,KAREEYA4,QLD1,operating,hydro,,,91.0,
Kareeya,ASK,au.nem.qld.kareeya,KAREEYA5,QLD1,operating,hydro,,,91.0,
Mackay,AS6,au.nem.qld.mackay,MACKAYGT,QLD1,operating,distillate,,,30.0,
Stanwell,AS7,au.nem.qld.stanwell,STAN-1,QLD1,operating,coal_black,,,1485.0,
Stanwell,AS7,au.nem.qld.stanwell,STAN-2,QLD1,operating,coal_black,,,1485.0,
Stanwell,AS7,au.nem.qld.stanwell,STAN-3,QLD1,operating,coal_black,,,1485.0,
Stanwell,AS7,au.nem.qld.stanwell,STAN-4,QLD1,operating,coal_black,,,1485.0,
Tarong,ASP,au.nem.qld.tarong,TARONG#1,QLD1,operating,coal_black,,,1425.0,
Tarong,ASP,au.nem.qld.tarong,TARONG#2,QLD1,operating,coal_black,,,1425.0,
Tarong,ASP,au.nem.qld.tarong,TARONG#3,QLD1,operating,coal_black,,,1425.0,
Tarong,ASP,au.nem.qld.tarong,TARONG#4,QLD1,operating,coal_black,,,1425.0,
Wivenhoe,AS8,au.nem.qld.wivenhoe,PUMP1,QLD1,operating,pumps,,,570.0,
Wivenhoe,AS8,au.nem.qld.wivenhoe,PUMP2,QLD1,operating,pumps,,,570.0,
Wivenhoe,AS8,au.nem.qld.wivenhoe,W/HOE#1,QLD1,operating,pumps,,,570.0,
Wivenhoe,AS8,au.nem.qld.wivenhoe,W/HOE#2,QLD1,operating,pumps,,,570.0,
Yallourn W,ASR,au.nem.vic.yallourn,YWPS1,VIC1,operating,coal_brown,,,1505.0,
Yallourn W,ASR,au.nem.vic.yallourn,YWPS2,VIC1,operating,coal_brown,,,1505.0,
Yallourn W,ASR,au.nem.vic.yallourn,YWPS3,VIC1,operating,coal_brown,,,1505.0,
Yallourn W,ASR,au.nem.vic.yallourn,YWPS4,VIC1,operating,coal_brown,,,1505.0,
Barcaldine,ASS,au.nem.qld.barcaldn,BARCALDN,QLD1,operating,gas_ccgt,,,37.0,
Tumut 3,AS9,au.nem.snowy.snowy1,TUMUT3,NSW1,operating,hydro,,,1575.0,
Tumut,ASW,au.nem.snowy.snowy2,UPPTUMUT,NSW1,operating,hydro,,,616.0,
Guthega,ASX,au.nem.nsw.snowy3,GUTHEGA,NSW1,operating,hydro,,,85.0,
Blowering,A9A,au.nem.nsw.snowy6,BLOWERNG,NSW1,operating,hydro,,,80.0,
Port Lincoln,A92,au.nem.sa.portlcn,POR01,SA1,operating,distillate,,,73.5,
Port Lincoln,A92,au.nem.sa.portlcn,POR03,SA1,operating,distillate,,,73.5,
Osborne,A93,au.nem.sa.osborne,OSB-AG,SA1,operating,gas_ccgt,,,180.0,
Mt Stuart,A9E,au.nem.qld.mstuart,MSTUART1,QLD1,operating,distillate,,,419.0,
Mt Stuart,A9E,au.nem.qld.mstuart,MSTUART2,QLD1,operating,distillate,,,419.0,
Mt Stuart,A9E,au.nem.qld.mstuart,MSTUART3,QLD1,operating,distillate,,,419.0,
Townsville,A9F,au.nem.qld.yabulu,YABULU,QLD1,operating,gas_ccgt,,,242.0,
Townsville,A9F,au.nem.qld.yabulu,YABULU2,QLD1,operating,gas_ccgt,,,242.0,
Smithfield,A94,au.nem.nsw.sithe,SITHE01,NSW1,operating,gas_ccgt,,,185.0,
Jindabyne Pump At Guthega,A98,au.nem.vic.snwygjp2,SNWYGJP2,SNOWY1,retired,pumps,,,70.0,
Roma Station,A9W,au.nem.qld.roma,ROMA_7,QLD1,operating,gas_ocgt,,,80.0,
Roma Station,A9W,au.nem.qld.roma,ROMA_8,QLD1,operating,gas_ocgt,,,80.0,
Oakey,AWE,au.nem.qld.oakey,OAKEY1,QLD1,operating,gas_ocgt,,,282.0,
Oakey,AWE,au.nem.qld.oakey,OAKEY2,QLD1,operating,gas_ocgt,,,282.0,
Ladbroke Grove,AW4,au.nem.sa.ladbroke,LADBROK1,SA1,operating,gas_ocgt,,,80.0,
Ladbroke Grove,AW4,au.nem.sa.ladbroke,LADBROK2,SA1,operating,gas_ocgt,,,80.0,
Windy Hill,AWH,au.nem.qld.windhill,WHILL1,QLD1,operating,wind,,,12.0,
Callide C,AWK,au.nem.qld.callidec,CPP_3,QLD1,operating,coal_black,,,840.0,
Callide C,AWK,au.nem.qld.callidec,CPP_4,QLD1,operating,coal_black,,,840.0,
Pelican Point,AW7,au.nem.sa.npppps,PPCCGT,SA1,operating,gas_ccgt,,,478.0,
Redbank,AW8,au.nem.nsw.redbank1,REDBANK1,NSW1,retired,coal_black,,,,
Bairnsdale,AWR,au.nem.vic.deibdl,BDL01,VIC1,operating,gas_ocgt,,,94.0,
Bairnsdale,AWR,au.nem.vic.deibdl,BDL02,VIC1,operating,gas_ocgt,,,94.0,
Millmerran,AWS,au.nem.qld.millmern,MPP_1,QLD1,operating,coal_black,,,852.0,
Millmerran,AWS,au.nem.qld.millmern,MPP_2,QLD1,operating,coal_black,,,852.0,
Jacks Gully,AW9,au.nem.nsw.jacksgul,JACKSGUL,NSW1,operating,bioenergy_biogas,,,2.3,
