DUID,CO2E_EMISSIONS_FACTOR
LADBROK1,0.653552
LADBROK2,0.653552
LKBONNY1,0
LKBONNY2,0
LKBONNY3,0
MINTARO,0.95237714
MTMILLAR,0
NBHWF1,0
NPS1,1.13063506
NPS2,1.13063506
OSB-AG,0.54468571
PLAYB-AG,1.5090411
POR01,1.44585846
POR03,1.44585846
PPCCGT,0.4737075
QPS1,0.79995938
QPS2,0.79995938
QPS3,0.79995938
QPS4,0.79995938
QPS5,0.79995938
SNOWTWN1,0
SNUG1,1.44835077
STARHLWF,0
TORRA1,0.671
TORRA1,0.68115
TORRA1,0.7085600000000001
TORRA2,0.671
TORRA2,0.68115
TORRA2,0.7085600000000001
TORRA3,0.671
TORRA3,0.68115
TORRA3,0.7085600000000001
TORRA4,0.671
TORRA4,0.68115
TORRA4,0.7085600000000001
TORRB1,0.671
TORRB1,0.68115
TORRB1,0.7085600000000001
TORRB2,0.671
TORRB2,0.68115
TORRB2,0.7085600000000001
TORRB3,0.671
TORRB3,0.68115
TORRB3,0.7085600000000001
TORRB4,0.671
TORRB4,0.68115
TORRB4,0.7085600000000001
WATERLWF,0
WPWF,0
BASTYAN,0
BBTHREE1,0.66468414
BBTHREE2,0.66468414
BBTHREE3,0.66468414
BUTLERSG,0
CETHANA,0
CLUNY,0
DEVILS_G,0
FISHER,0
GORDON,0
JBUTTERS,0
LEM_WIL,0
LI_WY_CA,0
LI_WY_CA,0.972
LK_ECHO,0
MACKNTSH,0
MEADOWBK,0
MEADOWBK,0.972
PALOONA,0
POAT110,0
POAT220,0
REECE1,0
REECE2,0
REPULSE,0
TARRALEA,0
TREVALLN,0
TRIBUTE,0
TUNGATIN,0
TVCC201,0.70261714
TVPP104,0.66468414
WOOLNTH1,0
AGLSOM,0.817915
APS,1.2286251
BDL01,0.56520847
BDL02,0.56520847
CHALLHWF,0
DARTM1,0
EILDON1,0
EILDON2,0
HUMEV,0
HWPS1,1.55800075
HWPS2,1.55800075
HWPS3,1.55800075
HWPS4,1.55800075
HWPS5,1.55800075
HWPS6,1.55800075
HWPS7,1.55800075
HWPS8,1.55800075
JLA01,0.87940454
JLA02,0.87940454
JLA03,0.87940454
JLA04,0.87940454
JLB01,0.87940454
JLB02,0.87940454
JLB03,0.87940454
LAVNORTH,0.79017987
LOYYB1,1.14102135
LOYYB2,1.14102135
LYA1,1.15481765
LYA2,1.15481765
LYA3,1.15481765
LYA4,1.15481765
MCKAY1,0
MOR1,1.64871738
MOR2,1.64871738
MOR3,1.64871738
MORTLK11,0.57343625
MORTLK12,0.57343625
MURRAY,0
NPS,0.57005405
OAKLAND1,0
VPGS,0.8715465
WAUBRAWF,0
WKIEWA1,0
WKIEWA2,0
YAMBUKWF,0
YWPS1,1.31551489
YWPS2,1.31551489
YWPS3,1.31551489
YWPS4,1.31551489
MACARTH1,0
MLWF1,0
MUSSELR1,0
GERMCRK,0.062
SNOWNTH1,0
SNOWSTH1,0
MERCER01,0
GULLRWF1,0
BOCORWF1,0
MBAHNTH,0.716
VPGS1,0.8715465
VPGS2,0.8715465
VPGS3,0.8715465
VPGS4,0.8715465
VPGS5,0.8715465
VPGS6,0.8715465
TARALGA1,0
NYNGAN1,0
BALDHWF1,0
ROYALLA1,0
LNGS1,0.79017987
LNGS2,0.79017987
BROKENH1,0
LONSDALE,1.4918
PTSTAN1,1.4918
MOREESF1,0
CATAGUN1,0
CATAGUN1,0.972
GEORGTN1,0.972
MEADOWB2,0
MEADOWB2,0.972
PORTLAT1,0.972
QUERIVE1,0.972
BBDISEL1,0.972
ANGAST1,1.0136
HDWF1,0
STANV2,1.4918
STANV1,1.4918
ARWF1,0
MLSP1,0
BARCSF1,0
BAPS,0
BDONGHYD,0
BROWNMT,0
COPTNHYD,0
EILDON3,0
GLBWNHYD,0
GLENMAG1,0
HLMSEW01,0
JOUNAMA1,0
KAREEYA5,0
KEEPIT,0
PINDARI,0
TERMSTOR,0
THEDROP1,0
WILLHOV1,0
WYANGALA,0
WYANGALB,0
CBWF1,0
CODRNGTON,0
HEPWIND1,0
TOORAWF,0
WHILL1,0
WONWP,0
LONGFORD,0.601
BWTR1,0.018
CONDONG1,0.018
EDLRGNRD,0.062
ICSM,0.018
SUNCOAST,0.0216
BBASEHOS,0.601
BBASEHOS,0.957
DAANDINE,0.706
MORANBAH,0.706
OAKY2,0.716
OAKYCREK,0.653
TERALBA,0.062
TGNSS1,0.601
WILGAPK,0.765
WILGB01,0
CESF1,0
BANKSPT1,0.708
BANKSPT1,0.9
BLULAKE1,0.657
NINEWIL1,0.957
STGEORG1,0.957
STHBKTEC,0.957
TATIARA1,0.957
WESTCBT1,0.957
WESTILL1,0.957
MORNW,0.06
AGLNOW1,0.062
AGLSITA1,0.062
BPLANDF1,0.062
BROADMDW,0.062
BROOKLYN,0.062
CLAYTON,0.062
CORIO1,0.062
EASTCRK,0.062
GRANGEAV,0.062
JACKSGUL,0.062
KINCUM1,0.062
LUCAS2S2,0.062
LUCASHGT,0.062
PEDLER1,0.06
ROCHEDAL,0.062
SHEP1,0.023
SVALE1,0.062
TATURA01,0.023
TITREE,0.062
WDLNGN01,0.062
WHIT1,0.062
WOLLERT1,0.062
WOYWOY1,0.062
WYNDW,0.06
AWABAREF,0.062
REMOUNT,0.062
AMCORGR,0.9
HIGHBRY1,0.0576
TEATREE1,0.0576
WIVENSH,0
APPIN,0.765
EASTCRK2,0.062
GLENNCRK,0.716
TOWER,0.775
YWNGAHYD,0
HDWF2,0
WRWF1,0
HDWF3,0
GULLRSF1,0
STAPYLTON1,0.062
GROSV1,0.716
GROSV2,0.716
SATGN1,0.957
SATGS1,0.957
KIATAWF1,0
HPRG1,0
HPRL1,0
YSWF1,0
KSP1,0
SAPHWF1,0
PARSF1,0
GRIFSF1,0
MAROOWF1,0
HUGSF1,0
CLARESF1,0
STWF1,0
GANNSF1,0
LRSF1,0
CHPSTWF1,0
HALAMRD1,0.062
TAHMOOR1,0.716
VALDORA1,0
WINGF1_1,0.062
WINGF2_1,0.062
SMCSF1,0
MANSLR1,0
BNGSF1,0
NASF1,0
SKSF1,0
HAMISF1,0
SALTCRK1,0
WHITSF1,0
MTGELWF1,0
DALNTH01,0
DALNTHL1,0
RRSF1,0
DDSF1,0
BODWF1,0
BANN1,0
WGWF1,0
BNGSF2,0
CSPVPS1,0
CROOKWF2,0
MEWF1,0
WRSF1,0
COLEASF1,0
EMERASF1,0
DAYDSF1,0
HAYMSF1,0
KARSF1,0
BAKING1,0
TIMWEST,0
BALBG1,0
CROWLWF1,0
WEMENSF1,0
GANNBG1,0
YAWWF1,0
SRSF1,0
CHILDSF1,0
TBSF1,0
LGAPWF1,0
OAKEY1SF,0
MUWAWF1,0
BERYLSF1,0
NUMURSF1,0
HAUGHT11,0
RUGBYR1,0.66977
COOPGWF1,0
CLERMSF1,0
YENDWF1,0
FINLYSF1,0
OAKEY2SF,0
LBBG1,0
BARKIPS1,0.874
NEVERSF1,0
GRANWF1,0
LIMOSF21,0
CTHLWF1,0
YARANSF1,0
MARYRSF1,0
DUNDWF1,0
DUNDWF2,0
DUNDWF3,0
BOMENSF1,0
ELAINWF1,0
CHYTWF1,0
BULGANA1,0
GOONSF1,0
GULLRWF2,0
LIMOSF11,0
DARLSF1,0
FNWF1,0
KIAMSF1,0
WARWSF1,0
WARWSF2,0
MWPS3PV1,0
WELLSF1,0
COLWF01,0
MOLNGSF1,0
SUNRSF1,0
YATSF1,0
MOORAWF1,0
CRURWF1,0
JEMALNG1,0
MIDDLSF1,0
BALBL1,0
BAYNL1,0.91264312
BOLIVAR1,0.003
CALLNL1,0.93134349
CALLNL1,1.328
CALLNL2,0.906912
CALLNL4,0.93134349
CALLNL4,1.328
CALL_A_1,0.93134349
CALL_A_1,1.328
CALL_A_2,0.93134349
CALL_A_2,1.328
CALL_A_3,0.93134349
CALL_A_3,1.328
CATA_1,0
CATA_1,0.972
CATA_2,0
CATA_2,0.972
COLNSNL1,1.19176895
COLNSV_1,1.19176895
COLNSV_2,1.19176895
COLNSV_3,1.19176895
COLNSV_4,1.19176895
COLNSV_5,1.19176895
DRYCNL,1.34256
DRYCNL3,1.34256
ERNL1,0.91014305
GANNBL1,0
GB02,0.706
GEORGTN2,0.972
GLADNL1,0.97176136
GORDON1,0
GORDON2,0
GORDON3,0
GOVILLB1,0
GUTHNL1,0
HEZ,0.77142857
HWPNL1,1.55800075
KARYNL1,0
KRCCOGEN,0.68
LBBL1,0
LEMONTME,0
LIDDNL1,0.98059172
LILYSF1,0
LYNL1,1.15481765
L_W_CNL1,0
L_W_CNL1,0.972
MCKAY2,0
MINTNL1,0.95237714
MMNL1,1.16298701
MORNL1,1.64871738
MPNL1,0.90851838
MRIDGE,0.42795234
MRIDGE,1.091
MURAYNL1,0
MURAYNL2,0
MURAYNL3,0
NPSNL1,1.13063506
NPSNL2,1.13063506
OSB01,0.54468571
OSB02,0.54468571
PLAYFB1,1.5090411
PLAYFB2,1.5090411
PLAYFB3,1.5090411
PLAYFB4,1.5090411
PMATTAEP,0.022
PO110NL1,0
POATINA1,0
POATINA2,0
SHGEN2,0
SNOWY1,0
SNOWY2,0
SNOWY3,0
SNOWY6,0
SNUG2,1.44835077
SNUG3,1.44835077
SNUG4,1.44835077
SNUGNL1,1.44835077
STANNL1,0.8721899999999999
SWANNL1,0.42795234
SWANNL1,1.091
SWANNL2,0.42795234
SWANNL2,1.091
SWAN_A_1,0.42795234
SWAN_A_1,1.091
SWAN_A_2,0.42795234
SWAN_A_2,1.091
SWAN_A_3,0.42795234
SWAN_A_3,1.091
SWAN_A_4,0.42795234
SWAN_A_4,1.091
SWAN_A_5,0.42795234
SWAN_A_5,1.091
SWAN_A_6,0.42795234
SWAN_A_6,1.091
SWAN_B_1,0.42795234
SWAN_B_1,1.091
SWAN_B_2,0.42795234
SWAN_B_2,1.091
SWAN_B_3,0.42795234
SWAN_B_3,1.091
SWAN_B_4,0.42795234
SWAN_B_4,1.091
SWAN_C,0.42795234
SWAN_C,1.091
SWAN_D,0.42795234
SWAN_D,1.091
SYMEX1,0.546
TARNL1,0.87145856
TORNL1,0.671
TORNL1,0.68115
TORNL1,0.7085600000000001
TREV_1,0
TREV_2,0
TREV_3,0
TREV_4,0
TRIBNL1,0
TUMT3NL1,0
TUMT3NL2,0
TUMT3NL3,0
TUNGA_3,0
TUNGA_4,0
VPNL1,0.90830509
WG01,0
WWNL1,1.03004577
WYA252B1,0
WYA252B1,0.972
WYB252B1,0
WYB252B1,0.972
YWNL1,1.31551489
