Gladstone,G/STONE,QLD1,operating,GSTONE5,black_coal,280
Gladstone,G/STONE,QLD1,operating,GSTONE6,black_coal,280
Grosvenor 1,GROSV1,QLD1,operating,GROSV1,gas_wcmg,21
Grosvenor 2,GROSV2,QLD1,operating,GROSV2,gas_wcmg,15
Hamilton,HAMISF,QLD1,operating,HAMISF1,solar,57
Haughton,HAUGHT1,QLD1,operating,HAUGHT11,solar,132
Hayman,HAYMSF,QLD1,operating,HAYMSF1,solar,57
Hughenden,HUGSF,QLD1,operating,HUGSF1,solar,10
Invicta Sugar Mill,INVICTA,QLD1,operating,INVICTA,bioenergy_biomass,50
Isis Central Sugar Mill,ICSM,QLD1,operating,ICSM,bioenergy_biomass,25
KRC Co-gen,KRCCOGEN,QLD1,retired,KRCCOGEN,gas_ocgt,5
Kareeya,KAREEYA,QLD1,operating,KAREEYA1,hydro,21
Kareeya,KAREEYA,QLD1,operating,KAREEYA2,hydro,21
Kareeya,KAREEYA,QLD1,operating,KAREEYA3,hydro,21
Kareeya,KAREEYA,QLD1,operating,KAREEYA4,hydro,21
Kareeya,KAREEYA,QLD1,operating,KAREEYA5,hydro,7
Kidston,KSP1,QLD1,operating,KSP1,solar,50
Kogan Creek,KOGANCK,QLD1,operating,KPP_1,black_coal,744
Lilyvale,LILYVASF,QLD1,operating,LILYSF1,solar,118
Longreach,LRSF,QLD1,operating,LRSF1,solar,17
Mackay,MACKAY,QLD1,operating,MACKAYGT,distillate,30
Maryrorough,MARYRSF,QLD1,operating,MARYRSF1,solar,33
Millmerran,MILLMERN,QLD1,operating,MPP_1,black_coal,426
Millmerran,MILLMERN,QLD1,operating,MPP_2,black_coal,426
Moranbah,MORANBAH,QLD1,operating,MORANBAH,gas_recip,13
Moranbah North,MBAHNTH,QLD1,operating,MBAHNTH,gas_wcmg,63
Mt Emerald,MEWF,QLD1,operating,MEWF1,wind,180
Mt Stuart,MSTUART,QLD1,operating,MSTUART1,distillate,144
Mt Stuart,MSTUART,QLD1,operating,MSTUART2,distillate,144
Mt Stuart,MSTUART,QLD1,operating,MSTUART3,distillate,131
Oakey,OAKEY,QLD1,operating,OAKEY1,gas_ocgt,141
Oakey,OAKEY,QLD1,operating,OAKEY2,gas_ocgt,141
Oakey 1,OAKEY1SF,QLD1,operating,OAKEY1SF,solar,30
Oakey 2,OAKEY2SF,QLD1,operating,OAKEY2SF,solar,65
Oaky Creek,OCPS,QLD1,operating,OAKYCREK,gas_recip,20
Oaky Creek 2,OAKY2,QLD1,operating,OAKY2,gas_wcmg,15
Pioneer Sugar Mill,PIONEER,QLD1,operating,PIONEER,bioenergy_biomass,68
Racecourse Mill,RACOMIL,QLD1,operating,RACOMIL1,bioenergy_biomass,48.5
Rochedale,ROCHEDAL,QLD1,retired,ROCHEDAL,bioenergy_biogas,4
Rocky Point Co-gen,RPCG,QLD1,operating,RPCG,bioenergy_biomass,30
Roghan Road,EDLRGNRD,QLD1,retired,EDLRGNRD,bioenergy_biogas,2
Roma,ROMA,QLD1,operating,ROMA_7,gas_ocgt,40
Roma,ROMA,QLD1,operating,ROMA_8,gas_ocgt,40
Ross River,RRSF,QLD1,operating,RRSF1,solar,128
Rugby Run,RUGBYR,QLD1,operating,RUGBYR1,solar,83
Southbank Institute Of Technology,STHBKTEC,QLD1,retired,STHBKTEC,distillate,1
Stanwell,STANWELL,QLD1,operating,STAN-1,black_coal,365
Stanwell,STANWELL,QLD1,operating,STAN-2,black_coal,365
Stanwell,STANWELL,QLD1,operating,STAN-3,black_coal,365
Stanwell,STANWELL,QLD1,operating,STAN-4,black_coal,365
Stapylton,STAPYLTON,QLD1,operating,STAPYLTON1,bioenergy_biogas,3
Sun Metals,SMCSF,QLD1,operating,SMCSF1,solar,117
Suncoast Gold Macadamias,SUNCOAST,QLD1,retired,SUNCOAST,bioenergy_biomass,1
Sunshine Coast,VALDORA,QLD1,operating,VALDORA1,solar,15
Susan River,SRSF,QLD1,operating,SRSF1,solar,85
Swanbank B,SWAN_B,QLD1,retired,SWAN_B_1,black_coal,125
Swanbank B,SWAN_B,QLD1,retired,SWAN_B_2,black_coal,125
Swanbank B,SWAN_B,QLD1,retired,SWAN_B_3,black_coal,125
Swanbank B,SWAN_B,QLD1,retired,SWAN_B_4,black_coal,125
Swanbank E,SWAN_E,QLD1,operating,SWAN_E,gas_ccgt,385
Tableland Mill,TABMILL2,QLD1,operating,TABMILL2,biomass,24
Tarong,TARONG,QLD1,operating,TARONG#1,black_coal,350
Tarong,TARONG,QLD1,operating,TARONG#2,black_coal,350
Tarong,TARONG,QLD1,operating,TARONG#3,black_coal,350
Tarong,TARONG,QLD1,operating,TARONG#4,black_coal,350
Tarong North,TARONGN,QLD1,operating,TNPS1,black_coal,443
Townsville,YABULU,QLD1,operating,YABULU,gas_ccgt,160
Townsville,YABULU,QLD1,operating,YABULU2,gas_ccgt,82
Veolia Ti Tree Bio Reactor,TITREE,QLD1,operating,TITREE,bioenergy_biogas,2
Victoria Mill,VICMILL,QLD1,operating,VICMILL1,bioenergy_biomass,24
Whitsunday,WHITSF,QLD1,operating,WHITSF1,solar,57
Whitwood Road,WHIT1,QLD1,retired,WHIT1,bioenergy_biogas,1
Windy Hill,WINDHILL,QLD1,operating,WHILL1,wind,12
Wivenhoe,WIVENHOE,QLD1,operating,PUMP1,pumps,240
Wivenhoe,WIVENHOE,QLD1,operating,PUMP2,pumps,240
Wivenhoe,WIVENHOE,QLD1,operating,W/HOE#1,hydro,285
Wivenhoe,WIVENHOE,QLD1,operating,W/HOE#2,hydro,285
Wivenhoe (Mini Hydro),WIVENSH,QLD1,operating,WIVENSH,hydro,5
Yarranlea,YARANSF,QLD1,operating,YARANSF1,solar,121
Yarwun,YARWUN,QLD1,operating,YARWUN_1,gas_ccgt,154
Amcor Glass,AMCORGR,SA1,retired,AMCORGR,distillate,4
Angaston,ANGASTON,SA1,operating,ANGAS1,distillate,30
Angaston,ANGASTON,SA1,operating,ANGAS2,distillate,20
Angaston,ANGASTON,SA1,operating,ANGAST1,distillate,50
Barker Inlet,BARKIPS,SA1,operating,BARKIPS1,gas_recip,211
Blue Lake Milling,BLULAKE,SA1,retired,BLULAKE1,distillate,1
Bolivar Waste Water Treatment,BOLIVAR,SA1,operating,BOLIVAR1,bioenergy_biogas,10
Bungala One,BNGSF1,SA1,operating,BNGSF1,solar,135
Bungala Two,BNGSF2,SA1,operating,BNGSF2,solar,135
Canunda,CANUNDA1,SA1,operating,CNUNDAWF,wind,46
Cathedral Rocks,CATHROCK,SA1,operating,CATHROCK,wind,66
Clements Gap,CLEMGPWF,SA1,operating,CLEMGPWF,wind,57
Dalrymple North Battery,DALNTH,SA1,operating,DALNTH01,battery_discharging,30
Dalrymple North Battery,DALNTH,SA1,operating,DALNTHL1,battery_charging,30
Dry Creek,DRYCGT,SA1,operating,DRYCGT1,gas_ocgt,52
Dry Creek,DRYCGT,SA1,operating,DRYCGT2,gas_ocgt,52
Dry Creek,DRYCGT,SA1,operating,DRYCGT3,gas_ocgt,52
Hallett,AGLHAL,SA1,operating,AGLHAL,gas_ocgt,217
Hallett 1,HALLWF,SA1,operating,HALLWF1,wind,95
Hallett 2,HALLWF2,SA1,operating,HALLWF2,wind,71
Highbury,HIGHBRY,SA1,retired,HIGHBRY1,bioenergy_biogas,2
Hornsdale,HORNSDAL,SA1,operating,HDWF1,wind,102
Hornsdale  2,HORNSDAL2,SA1,operating,HDWF2,wind,102
Hornsdale  3,HORNSDAL3,SA1,operating,HDWF3,wind,112
Hornsdale Power Reserve,HORNSDPR,SA1,operating,HPRG1,battery_discharging,100
Hornsdale Power Reserve,HORNSDPR,SA1,operating,HPRL1,battery_charging,120
Ladbroke Grove,LADBROKE,SA1,operating,LADBROK1,gas_ocgt,40
Ladbroke Grove,LADBROKE,SA1,operating,LADBROK2,gas_ocgt,40
Lake Bonney  1,LKBONNY1,SA1,operating,LKBONNY1,wind,81
Lake Bonney 2,LKBONNY_2,SA1,operating,LKBONNY2,wind,159
Lake Bonney 3,LKBONNY3,SA1,operating,LKBONNY3,wind,39
Lake Bonney Bess1,LBBESS,SA1,operating,LBBG1,battery_discharging,25
Lake Bonney Bess1,LBBESS,SA1,operating,LBBL1,,0
Lincoln Gap,LGAPWF1,SA1,operating,LGAPWF1,wind,212.4
Lonsdale,LONSDALE,SA1,operating,LONSDALE,distillate,21
Mintaro,MINTARO,SA1,operating,MINTARO,gas_ocgt,90
Mintaro,MINTARO,SA1,operating,MINTNL1,gas_ocgt,25
Mt Millar,MTMILLAR,SA1,operating,MTMILLAR,wind,70
North Brown Hill,NBHWF,SA1,operating,NBHWF1,wind,132
Northern,NORTHP,SA1,retired,NPS1,brown_coal,265
Northern,NORTHP,SA1,retired,NPS2,brown_coal,265
Northern,NORTHP,SA1,retired,NPSNL1,brown_coal,100
Northern,NORTHP,SA1,retired,NPSNL2,brown_coal,100
Osborne,OSBORNE,SA1,operating,OSB-AG,gas_ccgt,180
Pedler Creek,PEDLER,SA1,retired,PEDLER1,bioenergy_biogas,3
Pelican Point,NPPPPS,SA1,operating,PPCCGT,gas_ccgt,478
Playford B,PLAYF,SA1,retired,PLAYB-AG,brown_coal,240
Playford B,PLAYF,SA1,retired,PLAYFB1,brown_coal,60
Playford B,PLAYF,SA1,retired,PLAYFB2,brown_coal,60
Playford B,PLAYF,SA1,retired,PLAYFB3,brown_coal,60
Playford B,PLAYF,SA1,retired,PLAYFB4,brown_coal,60
Port Lincoln,PORTLCN,SA1,operating,POR01,distillate,50
Port Lincoln,PORTLCN,SA1,operating,POR03,distillate,23
Port Stanvac,STANVAC,SA1,operating,PTSTAN1,distillate,57.6
Port Stanvac,STANVAC,SA1,operating,STANV1,distillate,58
Port Stanvac,STANVAC,SA1,operating,STANV2,distillate,58
Quarantine,QUARANTN,SA1,operating,QPS1,gas_ocgt,29
Quarantine,QUARANTN,SA1,operating,QPS2,gas_ocgt,24
Quarantine,QUARANTN,SA1,operating,QPS3,gas_ocgt,24
Quarantine,QUARANTN,SA1,operating,QPS4,gas_ocgt,24
